 unique id,image,brand,category,collection,code,finishing,size,quantity,detail,currency in euro,retail price in euro,rate,currency,retail price,discount,nett price,location,status,arriving ETA,booking,booking expired,mix category
193,Zafferano-Poldina Pro Table_Gold Color Leaf.jpg,ZAFFERANO,Portable Lamps,Poldina Pro,LD0340BFO,Gold color leaf,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,430,"19,000",Rp,"8,170,000",,,Showroom Display,,,,,
194,Zafferano-Poldina Pro Table_Silver Color Leaf.jpg,ZAFFERANO,Portable Lamps,Poldina Pro,LD0340BFA,Gold color leaf,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,430,"19,000",Rp,"8,170,000",,,WH Barito,,,,,
195,Zafferano-Poldina Pro Table_Copper Color Leaf.jpg,ZAFFERANO,Portable Lamps,Poldina Pro,LD0340RFR,Copper color leaf,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,430,"19,000",Rp,"8,170,000",,,WH Barito,,,,,
196,Zafferano-Poldina Ceramic Cover_Green.jpg,ZAFFERANO,Portable Lamps,Poldina Ceramic Lampshade,LD035000,Green stripes,Ø 13 x 10cm,8,Lampshade Only,€,60,"19,000",Rp,"1,140,000",,,WH Barito,,,,,
197,Zafferano-Poldina Ceramic Cover_Yellow.jpg,ZAFFERANO,Portable Lamps,Poldina Ceramic Lampshade,LD035001,Yellow stripes,Ø 13 x 10cm,4,Lampshade Only,€,60,"19,000",Rp,"1,140,000",,,WH Barito,,,,,
198,Zafferano-Poldina Ceramic Cover_Red.jpg,ZAFFERANO,Portable Lamps,Poldina Ceramic Lampshade,LD035003,Red stripes,Ø 13 x 10cm,2,Lampshade Only,€,60,"19,000",Rp,"1,140,000",,,Showroom Display,,,,,
199,Zafferano-Poldina Ceramic Cover_Blue.jpg,ZAFFERANO,Portable Lamps,Poldina Ceramic Lampshade,LD035002,Blue Stripes,Ø 13 x 10cm,4,Lampshade Only,€,60,"19,000",Rp,"1,140,000",,,WH Barito,,,,,
200,Zafferano-Poldina Reverso_White.jpg,ZAFFERANO,Portable Lamps,Poldina Reverso,LD0420B3,White,Ø 11 x 35 cm,6,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,3W | 50-60Hz, 241-250-262lm | IP54 | 5Vds max 1A ",€,298,"19,000",Rp,"5,662,000",,,WH Barito,,,,,
201,Zafferano-Poldina Reverso_Corten.jpg,ZAFFERANO,Portable Lamps,Poldina Reverso,LD0420R3,Corten,Ø 11 x 35 cm,6,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,3W | 50-60Hz, 241-250-262lm | IP54 | 5Vds max 1A ",€,298,"19,000",Rp,"5,662,000",,,WH Barito,,,,,
202,Zafferano-Poldina Reverso_Dark Grey.jpg,ZAFFERANO,Portable Lamps,Poldina Reverso ,LD0420N3,Dark Grey,Ø 11 x 35 cm,6,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,3W | 50-60Hz, 241-250-262lm | IP54 | 5Vds max 1A ",€,298,"19,000",Rp,"5,662,000",,,WH Barito,,,,,
203,Zafferano-Poldina Reverso_Sand.jpg,ZAFFERANO,Portable Lamps,Poldina Reverso ,LD0420S3,Sand,Ø 11 x 35 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,3W | 50-60Hz, 241-250-262lm | IP54 | 5Vds max 1A ",€,298,"19,000",Rp,"5,662,000",,,WH Barito,,,,,
204,Zafferano-Poldina Reverso_Sage Green.jpg,ZAFFERANO,Portable Lamps,Poldina Reverso ,LD0420G3,Sage Green,Ø 11 x 35 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,3W | 50-60Hz, 241-250-262lm | IP54 | 5Vds max 1A ",€,298,"19,000",Rp,"5,662,000",,,WH Barito,,,,,
